species,V1,V2,V3,V4,V5
Act_mar,139184.9283,138248.3493,187868.5418,631864.0889,262776.4174
Apa_spi,5132967.403,5440145.049,1885584.475,2312185.164,3503739.874
Car_ins,15427.11758,468.4713188,0,20853.43281,29648.48192
Che_ser,3493176.564,4383722.841,1031930.452,2684151.692,3370734.576
Chr_pic,3547995.262,3588206.839,1240131.84,4430909.404,2567696.789
Cuo_amb,3052191.082,3835558.141,6751380.956,5064099.527,3912844.014
Der_maw,543858.248,209870.4682,489386.2467,670385.7636,236132.5138
Emy_orb,1942980.093,3417849.283,528939.3995,1158409.988,2842933.448
Emy_sub,3306682.595,2905375.582,787258.0736,2830011.918,3271450.787
Gop_aga,30924.6921,60274.56692,93305.18587,128845.8142,187034.3108
Gop_evg,93354.34703,61331.02272,4589.521982,5333.886449,49869.09389
Mau_rev,2674255.225,2909682.178,2020098.03,3418872.385,2126320.596
Mes_tub,2393059.202,3621834.884,3551754.959,4302695.532,593279.154
Pel_cas,4436924.666,3060600.307,818031.2328,3040081.557,1507361.551
Pel_sin,1550412.842,3336160.887,3929111.509,3611719.738,1017918.731
Pla_meg,1058127.954,690761.2887,826914.8245,1418345.327,286935.0294
Pod_exp,5539666.204,126543.2439,759942.2997,253477.9171,1737065.384
Ter_car,383264.0365,303838.367,817754.3667,1069093.521,1436512.479
Tra_scr,5348554.427,4391233.806,1655061.464,5450822.54,2893447.747
